Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.003482
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.32      0.000     0.000     0.000     0.000        7   NilClass#nil? 
  0.32      0.000     0.000     0.000     0.000        1   Kernel#sprintf 
  0.32      0.000     0.000     0.000     0.000        5   URI::Generic#set_registry 
  0.32      0.000     0.000     0.000     0.000        1   Kernel#nil? 
  0.32      0.000     0.000     0.000     0.000        3   Hash#merge 
  0.29      0.000     0.000     0.000     0.000        1   Rails::Engine#call 
  0.29      0.000     0.000     0.000     0.000        5   URI::Generic#set_opaque 
  0.29      0.000     0.000     0.000     0.000        2   URI::Generic#normalize! 
  0.29      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#subscribe 
  0.29      0.000     0.000     0.000     0.000        6   URI::Generic#set_query 
  0.29      0.000     0.000     0.000     0.000        5   URI::Generic#split_userinfo 
  0.29      0.000     0.000     0.000     0.000        1   Rack::MockResponse#initialize 
  0.29      0.000     0.000     0.000     0.000        1   BrowsingTest#_run__1872042160307382491__teardown__1671519186112314292__callbacks 
  0.29      0.000     0.000     0.000     0.000        1   <Module::URI>#encode_www_form_component 
  0.29      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures 
  0.29      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#_run__1371162033119361340__checkin__109291186151795893__callbacks 
  0.26      0.000     0.000     0.000     0.000        5   Kernel#kind_of? 
  0.26      0.000     0.000     0.000     0.000        6   <Module::URI>#scheme_list 
  0.26      0.000     0.000     0.000     0.000        1   String#gsub! 
  0.26      0.000     0.000     0.000     0.000        1   Rails::Application#build_original_fullpath 
  0.26      0.000     0.000     0.000     0.000        3   ActionDispatch::Response#[] 
  0.26      0.000     0.000     0.000     0.000        6   URI::Generic#set_scheme 
  0.26      0.000     0.000     0.000     0.000        1   Array#== 
  0.26      0.000     0.000     0.000     0.000        3   URI::Generic#parser 
  0.26      0.000     0.000     0.000     0.000        1   <Module::URI>#decode_www_form_component 
  0.26      0.000     0.000     0.000     0.000       11   <Class::Hash>#allocate 
  0.26      0.003     0.000     0.000     0.003        1   ActiveSupport::Testing::Performance::ForClassicTestUnit#run_test 
  0.23      0.000     0.000     0.000     0.000        5   <Class::Time>#now 
  0.23      0.000     0.000     0.000     0.000       13   Fixnum#to_s 
  0.23      0.000     0.000     0.000     0.000        1   Rack::Response#write 
  0.23      0.000     0.000     0.000     0.000        3   Array#join 
  0.23      0.000     0.000     0.000     0.000        1   String#sub! 
  0.23      0.000     0.000     0.000     0.000        3   <Class::ActiveRecord::Base>#connection_id 
  0.23      0.000     0.000     0.000     0.000        1   URI::Generic#scheme= 
  0.23      0.000     0.000     0.000     0.000       30   String#to_s 
  0.23      0.000     0.000     0.000     0.000        2   URI::Generic#component 
  0.23      0.000     0.000     0.000     0.000        4   <Module::URI>#parse 
  0.20      0.000     0.000     0.000     0.000        1   Rack::Test::Session#initialize 
  0.20      0.000     0.000     0.000     0.000        4   Fixnum#== 
  0.20      0.000     0.000     0.000     0.000       73   String#=== 
  0.20      0.000     0.000     0.000     0.000        3   Kernel#!~ 
  0.20      0.000     0.000     0.000     0.000        3   String#to_i 
  0.20      0.000     0.000     0.000     0.000        1   URI::Generic#port= 
  0.20      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#for 
  0.20      0.000     0.000     0.000     0.000        3   ActiveRecord::TestFixtures#run_in_transaction? 
  0.20      0.002     0.000     0.000     0.002        1   ActionDispatch::Integration::RequestHelpers#get 
  0.20      0.000     0.000     0.000     0.000        2   Regexp#=~ 
  0.20      0.000     0.000     0.000     0.000        1   String#gsub 
  0.20      0.000     0.000     0.000     0.000        2   Rack::Test::Session#last_request 
  0.20      0.000     0.000     0.000     0.000        1   Rack::Mime#mime_type 
  0.20      0.000     0.000     0.000     0.000        1   Kernel#URI 
  0.20      0.000     0.000     0.000     0.000        3   URI::HTTP#initialize 
  0.20      0.000     0.000     0.000     0.000        2   Hash#merge! 
  0.20      0.000     0.000     0.000     0.000        3   ActionDispatch::Integration::Session#https? 
  0.20      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::Cache::Response#prepare_cache_control! 
