Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.033807
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.22      0.000     0.000     0.000     0.000        4   ActionDispatch::Routing::PolymorphicRoutes#build_named_route_call 
  0.22      0.002     0.000     0.000     0.001        7   Journey::Route#format 
  0.22      0.000     0.000     0.000     0.000       20   ActiveModel::AttributeMethods#respond_to? 
  0.21      0.000     0.000     0.000     0.000        9   ActionView::Helpers::UrlHelper#link_to_remote_options? 
  0.21      0.000     0.000     0.000     0.000       58   Kernel#block_given? 
  0.21      0.000     0.000     0.000     0.000        3   PG::Connection#async_exec 
  0.21      0.000     0.000     0.000     0.000       44   NilClass#to_s 
  0.21      0.000     0.000     0.000     0.000       23   String#intern 
  0.20      0.000     0.000     0.000     0.000       27   String#to_sym 
  0.20      0.003     0.000     0.000     0.003        8  *Array#collect 
  0.20      0.000     0.000     0.000     0.000       41   Thread#[] 
  0.20      0.000     0.000     0.000     0.000       65   Hash#include? 
  0.20      0.008     0.000     0.000     0.008       14  *ActionView::Helpers::UrlHelper#url_for 
  0.20      0.003     0.000     0.000     0.003        1   ActionView::CompiledTemplates#_app_views_layouts_application_html_erb___1179585729785868970_70141092053500 
  0.20      0.001     0.000     0.000     0.001        9   ActionView::Helpers::TagHelper#tag_options 
  0.19      0.003     0.000     0.000     0.003        1   ActiveRecord::Relation#exec_queries 
  0.19      0.000     0.000     0.000     0.000       25   Time#initialize 
  0.19      0.001     0.000     0.000     0.001        5   ActiveSupport::LogSubscriber#call 
  0.19      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_for 
  0.18      0.000     0.000     0.000     0.000       32   Journey::Nodes::Cat#type 
  0.18      0.001     0.000     0.000     0.000        2   ActiveRecord::Base#init_with 
  0.18      0.000     0.000     0.000     0.000       11   Array#extract_options! 
  0.18      0.001     0.000     0.000     0.001        4   ActionView::AssetPaths#compute_public_path 
  0.17      0.000     0.000     0.000     0.000       48   Kernel#respond_to_missing? 
  0.17      0.004     0.000     0.000     0.004        7   ActionDispatch::Routing::RouteSet::Generator#generate 
  0.17      0.000     0.000     0.000     0.000       42   String#to_i 
  0.17      0.000     0.000     0.000     0.000       15   Object#present? 
  0.17      0.000     0.000     0.000     0.000       45   ActiveSupport::Notifications::Fanout::Subscriber#matches? 
  0.17      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet::Generator#use_recall_for 
  0.17      0.000     0.000     0.000     0.000        7   ActionView::Helpers::UrlHelper#convert_options_to_data_attributes 
  0.17      0.000     0.000     0.000     0.000        5   URI::Parser#split 
  0.17      0.000     0.000     0.000     0.000       12   Hash#except 
  0.17      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet#handle_positional_args 
  0.17      0.000     0.000     0.000     0.000       16   <Class::Hash>#[] 
  0.17      0.001     0.000     0.000     0.001       15   Hash#symbolize_keys! 
  0.17      0.000     0.000     0.000     0.000       23   String#initialize_copy 
  0.17      0.000     0.000     0.000     0.000       23   Kernel#instance_variable_set 
  0.16      0.000     0.000     0.000     0.000       36   Array#empty? 
  0.16      0.001     0.000     0.000     0.001       58  *Hash#default 
  0.16      0.000     0.000     0.000     0.000       11   Regexp#=== 
  0.16      0.000     0.000     0.000     0.000       53   String#hash 
  0.15      0.016     0.000     0.000     0.016        1   ActionView::TemplateRenderer#render_with_layout 
  0.15      0.000     0.000     0.000     0.000       11   ActiveSupport::OrderedOptions#[] 
  0.15      0.000     0.000     0.000     0.000        8   <Class::ActiveRecord::Base>#logger 
  0.15      0.000     0.000     0.000     0.000        1   ActionView::Base#initialize 
  0.15      0.000     0.000     0.000     0.000       33   Hash#[] 
  0.15      0.000     0.000     0.000     0.000       25   Module#name 
  0.15      0.001     0.000     0.000     0.001        2   ActiveRecord::Inheritance::ClassMethods#instantiate 
  0.15      0.000     0.000     0.000     0.000        7   Time#minus_without_duration 
  0.15      0.023     0.000     0.000     0.023        8  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.15      0.000     0.000     0.000     0.000       26   Journey::Visitors::Formatter#terminal 
  0.15      0.000     0.000     0.000     0.000       22   Kernel#!~ 
  0.15      0.000     0.000     0.000     0.000       37   Symbol#== 
  0.15      0.000     0.000     0.000     0.000       27   Hash#has_key? 
  0.14      0.000     0.000     0.000     0.000       20   Array#include? 
  0.14      0.000     0.000     0.000     0.000        1   ActionController::MimeResponds#retrieve_collector_from_mimes 
  0.14      0.000     0.000     0.000     0.000        7   Journey::Formatter#verify_required_parts! 
  0.14      0.000     0.000     0.000     0.000       14   ActionDispatch::Routing::RouteSet::NamedRouteCollection#get 
  0.14      0.000     0.000     0.000     0.000        5   ActiveSupport::Notifications::Event#initialize 
  0.14      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper::AssetPaths#rewrite_extension 
  0.14      0.000     0.000     0.000     0.000       16   Journey::Visitors::Visitor#visit_SLASH 
  0.14      0.001     0.000     0.000     0.001        1   Rack::Test::Session#env_for 
  0.14      0.000     0.000     0.000     0.000        4  *ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.14      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper::AssetPaths#rewrite_asset_path 
  0.14      0.000     0.000     0.000     0.000        2   URI::Generic#to_s 
  0.14      0.000     0.000     0.000     0.000        6   Journey::Visitors::Formatter#visit_SYMBOL 
  0.14      0.000     0.000     0.000     0.000       36   Kernel#nil? 
  0.14      0.000     0.000     0.000     0.000       20   String#== 
  0.14      0.000     0.000     0.000     0.000        5   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.14      0.022     0.000     0.000     0.022        1   BattingStatsController#index 
  0.13      0.000     0.000     0.000     0.000       21   Hash#reverse_merge! 
  0.13      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet::Generator#segment_keys 
  0.13      0.001     0.000     0.000     0.001       71  *Journey::Visitors::Visitor#visit 
  0.13      0.001     0.000     0.000     0.001        8   ActiveSupport::Notifications::Fanout#publish 
  0.13      0.000     0.000     0.000     0.000       21   Journey::Route#required_parts 
  0.13      0.000     0.000     0.000     0.000       22   String#encoding_aware? 
  0.13      0.001     0.000     0.000     0.001       15   Hash#symbolize_keys 
  0.13      0.000     0.000     0.000     0.000       23   Kernel#kind_of? 
  0.13      0.000     0.000     0.000     0.000       20   ActiveRecord::AttributeMethods::ClassMethods#attribute_methods_generated? 
  0.13      0.000     0.000     0.000     0.000       64  *ActiveSupport::OrderedOptions#_get 
  0.13      0.000     0.000     0.000     0.000       36   ActiveSupport::SafeBuffer#original_concat 
  0.13      0.000     0.000     0.000     0.000        3   Sprockets::Helpers::RailsHelper#compile_assets? 
  0.13      0.000     0.000     0.000     0.000        5   <Module::ActiveSupport::Notifications>#instrumenter 
  0.13      0.000     0.000     0.000     0.000        7   Time#minus_with_coercion 
  0.12      0.000     0.000     0.000     0.000       11   Rails::Application#config 
  0.12      0.000     0.000     0.000     0.000       25   String#downcase 
  0.12      0.000     0.000     0.000     0.000       13   <Module::Rails>#application 
  0.12      0.000     0.000     0.000     0.000        1   ActiveSupport::Inflector#underscore 
  0.12      0.001     0.000     0.000     0.000        7   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.12      0.000     0.000     0.000     0.000       53   Kernel#=== 
  0.12      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryMethods#build_arel 
  0.12      0.002     0.000     0.000     0.002        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#include_tag 
  0.12      0.000     0.000     0.000     0.000       27   String#concat 
  0.12      0.001     0.000     0.000     0.001       12   ActiveSupport::Notifications::Fanout#listeners_for 
  0.12      0.000     0.000     0.000     0.000       11   <Class::ActiveRecord::Base>#connection_id 
  0.12      0.000     0.000     0.000     0.000        5   ActiveSupport::HashWithIndifferentAccess#default 
  0.12      0.000     0.000     0.000     0.000        3   ActionView::Resolver#cached 
  0.12      0.000     0.000     0.000     0.000       12   ActiveRecord::Base#hash 
  0.12      0.000     0.000     0.000     0.000       12   Hash#except! 
  0.12      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper#asset_paths 
  0.12      0.000     0.000     0.000     0.000        1   <Class::Dir>#[] 
  0.12      0.000     0.000     0.000     0.000        1   ActiveRecord::Scoping::ClassMethods#with_scope 
  0.12      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet::Generator#handle_nil_action! 
  0.11      0.000     0.000     0.000     0.000        4   #<Module:0x007f95face2920>#hash_for_batting_stat_path 
  0.11      0.033     0.000     0.000     0.033        1   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.11      0.000     0.000     0.000     0.000       19   MonitorMixin#mon_check_owner 
  0.11      0.001     0.000     0.000     0.001        5   URI::Parser#parse 
  0.11      0.000     0.000     0.000     0.000        8   Array#uniq 
  0.11      0.000     0.000     0.000     0.000        2   Kernel#method 
  0.11      0.000     0.000     0.000     0.000       25   <Class::Time>#allocate 
  0.11      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet::Generator#normalize_controller! 
  0.11      0.000     0.000     0.000     0.000        6   Array#flatten 
  0.11      0.000     0.000     0.000     0.000        3   ActiveRecord::LogSubscriber#sql 
  0.11      0.000     0.000     0.000     0.000        6   URI::Parser#escape 
  0.11      0.000     0.000     0.000     0.000        5   String#% 
  0.11      0.001     0.000     0.000     0.001       32  *Journey::Visitors::Formatter#binary 
  0.10      0.001     0.000     0.000     0.001       11   ActiveSupport::Notifications::Fanout::Subscriber#publish 
  0.10      0.000     0.000     0.000     0.000        2   ActionView::Helpers::ControllerHelper#params 
  0.10      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet::Generator#normalize_controller_action_id! 
  0.10      0.000     0.000     0.000     0.000       10   Journey::Visitors::Visitor#visit_LITERAL 
  0.10      0.000     0.000     0.000     0.000       24   Kernel#freeze 
  0.10      0.000     0.000     0.000     0.000        6   Array#== 
  0.10      0.000     0.000     0.000     0.000       15   String#[] 
  0.10      0.000     0.000     0.000     0.000        3   ActionView::LookupContext::ViewPaths#normalize_name 
  0.10      0.000     0.000     0.000     0.000        1   URI::Generic#merge_path 
  0.10      0.000     0.000     0.000     0.000       14   Thread#[]= 
  0.10      0.000     0.000     0.000     0.000        8   URI::Generic#default_port 
  0.10      0.000     0.000     0.000     0.000        2   ActiveRecord::Scoping::ClassMethods#current_scope 
  0.10      0.000     0.000     0.000     0.000       23   Kernel#eql? 
  0.10      0.000     0.000     0.000     0.000        1   Rack::Response#initialize 
  0.10      0.004     0.000     0.000     0.004        7   Journey::Formatter#generate 
  0.09      0.000     0.000     0.000     0.000        3   <Class::Array>#wrap 
  0.09      0.000     0.000     0.000     0.000       16   Journey::Nodes::Slash#type 
  0.09      0.000     0.000     0.000     0.000        8   ActionDispatch::Routing::PolymorphicRoutes#extract_record 
  0.09      0.000     0.000     0.000     0.000       21   Hash#to_a 
  0.09      0.000     0.000     0.000     0.000        6   ActiveSupport::TaggedLogging#current_tags 
  0.09      0.000     0.000     0.000     0.000        9  *AbstractController::ViewPaths#lookup_context 
  0.09      0.001     0.000     0.000     0.000        7   ActionView::Helpers::UrlHelper#url_options 
  0.09      0.000     0.000     0.000     0.000        8   ActionView::Helpers::FormHelper#convert_to_model 
  0.09      0.001     0.000     0.000     0.001        3   ActiveSupport::TaggedLogging#add 
  0.09      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#is_uri? 
  0.09      0.000     0.000     0.000     0.000        7   ActionDispatch::Routing::RouteSet::Generator#named_route_exists? 
  0.09      0.004     0.000     0.000     0.003        3  *ActiveRecord::Explain#logging_query_plan 
  0.09      0.000     0.000     0.000     0.000        2   ActiveRecord::Relation#with_default_scope 
  0.09      0.001     0.000     0.000     0.000        3   Logger#add 
  0.09      0.001     0.000     0.000     0.001       14  *<Class::ActiveRecord::Base>#retrieve_connection 
  0.09      0.002     0.000     0.000     0.002        1   Sprockets::Helpers::RailsHelper#stylesheet_link_tag 
  0.09      0.000     0.000     0.000     0.000        1   Array#initialize 
  0.09      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#setup_fixtures 
  0.09      0.031     0.000     0.000     0.031        1   Rack::MockSession#request 
  0.09      0.022     0.000     0.000     0.022        1   BattingStatsController#_run__4554444892905328153__process_action__3325387514639876829__callbacks 
  0.09      0.000     0.000     0.000     0.000        4   <Module::ActiveModel::Naming>#model_name_from_record_or_class 
  0.09      0.000     0.000     0.000     0.000       15   Hash#initialize 
  0.09      0.001     0.000     0.000     0.001        5   Array#collect! 
  0.09      0.000     0.000     0.000     0.000        2   Sprockets::Helpers::RailsHelper#debug_assets? 
  0.09      0.000     0.000     0.000     0.000        7   Time#minus_with_duration 
  0.09      0.000     0.000     0.000     0.000        8   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.09      0.000     0.000     0.000     0.000        1   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
  0.09      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#match? 
  0.09      0.000     0.000     0.000     0.000        4  *ActiveRecord::ModelSchema::ClassMethods#inheritance_column 
  0.09      0.011     0.000     0.000     0.011        1   ActionView::CompiledTemplates#_app_views_batting_stats_index_html_erb___3358678395119650764_70141092058280 
  0.09      0.000     0.000     0.000     0.000       14   Journey::Formatter#named_routes 
  0.09      0.000     0.000     0.000     0.000       18   Mutex#lock 
  0.09      0.000     0.000     0.000     0.000        1   Rack::Utils#parse_query 
  0.09      0.000     0.000     0.000     0.000        2   ActionDispatch::Response#initialize 
  0.09      0.000     0.000     0.000     0.000       14   Journey::Route#parts 
  0.08      0.000     0.000     0.000     0.000        7   URI::Generic#set_port 
  0.08      0.001     0.000     0.000     0.001        3   ActionDispatch::Http::Parameters#parameters 
  0.08      0.000     0.000     0.000     0.000        6   ActiveSupport::HashWithIndifferentAccess#update 
  0.08      0.000     0.000     0.000     0.000        3   ActiveSupport::InheritableOptions#initialize 
  0.08      0.000     0.000     0.000     0.000       10   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.08      0.000     0.000     0.000     0.000        1   #<Module:0x007f95fdf30f30>#protect_against_forgery? 
  0.08      0.000     0.000     0.000     0.000        7   Journey::Visitors::Formatter#initialize 
  0.08      0.000     0.000     0.000     0.000        4   ActiveRecord::Persistence#persisted? 
  0.08      0.000     0.000     0.000     0.000        3   ActionDispatch::Http::MimeNegotiation#formats 
  0.08      0.000     0.000     0.000     0.000       14   ActiveSupport::SafeBuffer#to_s 
  0.08      0.030     0.000     0.000     0.030       10  *ActiveSupport::Callbacks#run_callbacks 
  0.08      0.000     0.000     0.000     0.000       21   Array#last 
  0.08      0.000     0.000     0.000     0.000       27   Fixnum#+ 
  0.08      0.000     0.000     0.000     0.000       18   Mutex#unlock 
  0.08      0.000     0.000     0.000     0.000        6   ActiveRecord::Integration#to_param 
  0.08      0.000     0.000     0.000     0.000        9   Rack::Request#script_name 
  0.08      0.001     0.000     0.000     0.001        2   Sprockets::Helpers::RailsHelper#asset_path 
  0.08      0.027     0.000     0.000     0.027       15  *Proc#call 
  0.08      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::Base>#relation 
  0.08      0.000     0.000     0.000     0.000        5   URI::Generic#set_userinfo 
  0.08      0.000     0.000     0.000     0.000       14   ActionDispatch::Routing::RouteSet::Generator#controller 
  0.08      0.000     0.000     0.000     0.000        2   ActionView::LookupContext::Accessors#formats= 
