Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::ID#loaded_session? 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::ID#commit_session? 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::ID#commit_session 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Session::Abstract::SessionHash#has_key? 
   NaN      0.000     0.000     0.000     0.000        1   Rack::ConditionalGet#fresh? 
   NaN      0.000     0.000     0.000     0.000       14   Rack::Utils::HeaderHash#[]= 
   NaN      0.000     0.000     0.000     0.000        2   Rack::Utils::HeaderHash#initialize 
   NaN      0.000     0.000     0.000     0.000        2   <Class::Rack::Utils::HeaderHash>#new 
   NaN      0.000     0.000     0.000     0.000        1   Digest::Base#finish 
   NaN      0.000     0.000     0.000     0.000        1   Digest::Base#update 
   NaN      0.000     0.000     0.000     0.000        2   Digest::Base#reset 
   NaN      0.000     0.000     0.000     0.000        1   Digest::Instance#digest 
   NaN      0.000     0.000     0.000     0.000        1   Digest::Class#initialize 
   NaN      0.000     0.000     0.000     0.000        1   <Class::Digest::Base>#allocate 
   NaN      0.000     0.000     0.000     0.000        1   <Class::Digest::Class>#digest 
   NaN      0.000     0.000     0.000     0.000        1   <Class::Digest::Class>#hexdigest 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#each 
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#digest_body 
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#skip_caching? 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#respond_to? 
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#etag_body? 
   NaN      0.000     0.000     0.000     0.000        1   Rack::ETag#etag_status? 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::Cache::Response#last_modified? 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Http::Cache::Response#handle_conditional_get! 
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Response>#default_charset 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#assign_default_content_type_and_charset! 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#to_a 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Metal#to_a 
   NaN      0.000     0.000     0.000     0.000        2   Float#to_f 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Instrumentation::ClassMethods#log_process_action 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Railties::ControllerRuntime::ClassMethods#log_process_action 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::LogSubscriber#process_action 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Instrumentation#append_info_to_payload 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::Railties::ControllerRuntime#append_info_to_payload 
   NaN      0.000     0.000     0.000     0.000        1   Float#- 
   NaN      0.000     0.000     0.000     0.000        2   Float#+ 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::Metal#response_body= 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::RackDelegation#response_body= 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::OutputFlow#get 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Context#_layout_for 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::RenderingHelper#_layout_for 
   NaN      0.000     0.000     0.000     0.000        1   #<Module:0x007f95fdf30f30>#protect_against_forgery? 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::CsrfHelper#csrf_meta_tags 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::TagHelper#content_tag_string 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::TagHelper#content_tag 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::JavascriptIncludeTag#extension 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::JavascriptIncludeTag#asset_name 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::JavascriptIncludeTag#asset_tag 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::JavascriptIncludeTag#add_application_js 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::JavascriptIncludeTag#expand_sources 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::JavascriptTagHelpers#javascript_include_tag 
   NaN      0.000     0.000     0.000     0.000        1   Sprockets::Helpers::RailsHelper#javascript_include_tag 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::TagHelper#tag 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::StylesheetIncludeTag#extension 
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Inflector#apply_inflections 
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Inflector#pluralize 
   NaN      0.000     0.000     0.000     0.000        2   String#pluralize 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::StylesheetIncludeTag#asset_name 
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#path_to_asset 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::StylesheetIncludeTag#asset_tag 
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#update_source_list 
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#determine_source 
   NaN      0.000     0.000     0.000     0.000        4  *ActionView::Helpers::AssetTagHelper::AssetIncludeTag#expansions 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#expand_sources 
   NaN      0.000     0.000     0.000     0.000        2   #<Class:0x007f95fdea2a28>#perform_caching 
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#include_tag 
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#initialize 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::Helpers::AssetTagHelper::StylesheetTagHelpers#stylesheet_link_tag 
   NaN      0.000     0.000     0.000     0.000        4   #<Class:0x007f95fdea2a28>#asset_host 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#asset_host_config 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#compute_asset_host 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#rewrite_host_and_protocol 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#rewrite_relative_url_root 
   NaN      0.000     0.000     0.000     0.000        4   #<Class:0x007f95fdea2a28>#relative_url_root 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#relative_url_root 
   NaN      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper::AssetPaths#rewrite_asset_path 
   NaN      0.000     0.000     0.000     0.000        4   <Class::File>#extname 
   NaN      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper::AssetPaths#rewrite_extension 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#is_uri? 
   NaN      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#compute_public_path 
   NaN      0.000     0.000     0.000     0.000        2   Sprockets::Helpers::RailsHelper#asset_prefix 
   NaN      0.000     0.000     0.000     0.000        1   Sprockets::Helpers::RailsHelper#asset_digests 
   NaN      0.000     0.000     0.000     0.000        1   Sprockets::Helpers::RailsHelper#asset_environment 
   NaN      0.000     0.000     0.000     0.000        1   ActionView::AssetPaths#initialize 
   NaN      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper#asset_paths 
   NaN      0.000     0.000     0.000     0.000        2   Sprockets::Helpers::RailsHelper#asset_path 
   NaN      0.000     0.000     0.000     0.000        3   Sprockets::Helpers::RailsHelper#digest_assets? 
   NaN      0.000     0.000     0.000     0.000        2   ActionController::Metal#params 
   NaN      0.000     0.000     0.000     0.000        2   ActionView::Helpers::ControllerHelper#params 
   NaN      0.000     0.000     0.000     0.000       11   ActiveSupport::OrderedOptions#[] 
