Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   Rack::Mime#mime_type 
   NaN      0.000     0.000     0.000     0.000        1   <Class::File>#extname 
   NaN      0.000     0.000     0.000     0.000        1   Kernel#sprintf 
   NaN      0.000     0.000     0.000     0.000        1   Time#sec 
   NaN      0.000     0.000     0.000     0.000        1   Time#min 
   NaN      0.000     0.000     0.000     0.000        1   Time#hour 
   NaN      0.000     0.000     0.000     0.000        2   Time#year 
   NaN      0.000     0.000     0.000     0.000        1   Time#mon 
   NaN      0.000     0.000     0.000     0.000        1   Time#day 
   NaN      0.000     0.000     0.000     0.000        1   Time#wday 
   NaN      0.000     0.000     0.000     0.000        1   Fixnum#divmod 
   NaN      0.000     0.000     0.000     0.000        3   Fixnum#<=> 
   NaN      0.000     0.000     0.000     0.000        1   Time#utc 
   NaN      0.000     0.000     0.000     0.000        1   Time#initialize_copy 
   NaN      0.000     0.000     0.000     0.000        1   Time#httpdate 
   NaN      0.000     0.000     0.000     0.000        1   <Class::File>#mtime 
   NaN      0.000     0.000     0.000     0.000        1   Rack::File#serving 
   NaN      0.000     0.000     0.000     0.000        1   <Class::File>#readable? 
   NaN      0.000     0.000     0.000     0.000        1   <Class::File>#join 
   NaN      0.000     0.000     0.000     0.000        1   String#gsub 
   NaN      0.000     0.000     0.000     0.000        1   <Module::URI>#decode_www_form_component 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils#unescape 
   NaN      0.000     0.000     0.000     0.000        1   Rack::File#_call 
   NaN      0.000     0.000     0.000     0.000        1   Rack::File#call 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#call 
   NaN      0.000     0.000     0.000     0.000        1   String#gsub! 
   NaN      0.000     0.000     0.000     0.000        1   String#encoding 
   NaN      0.000     0.000     0.000     0.000        1   <Module::URI>#encode_www_form_component 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils#escape 
